channel,coefficient,due_to_units,significant,pct_contribution
linear,52175.91115469526,3019897.0995348375,False,18.364451753773018
amazon_retail,94146.09674815717,2692476.0211003334,False,16.37335457400323
meta,56354.71681403575,2051280.3197463974,False,12.474146377785294
tesco,174626.0232809038,1822219.7214098945,True,11.081194178358022
citrus,96351.199204342,1729355.480609402,True,10.516472661822213
meta_collab_ads,45407.05546436089,1161461.8325971598,False,7.063025356680129
pinterest,254272.19346295414,1107024.1899507898,True,6.731981804857656
google_video,176463.03884485376,1072768.245669033,True,6.523666218164599
criteo,26535.43512775904,600125.6218280968,False,3.6494548208158166
the_hut_group,125295.73460034898,570235.8063303237,False,3.4676903246935544
tik_tok,44036.64451533387,465962.5186588354,False,2.8335886657511677
bvod,4889.1038469476625,151447.18306133104,False,0.920973263295311
testers_and_merchandising,-15704.655899423757,-637933.1525630549,False,0.0
google,-227919.11443731532,-795674.7737399188,False,0.0
influencer_management,-86205.70512619638,-1075803.7146532382,False,0.0
youtube,-45348.07830392456,-1696220.9617788475,False,0.0
amazon,-42990.86861681916,-1995142.4963266319,False,0.0
