channel,coefficient,due_to_units,significant,pct_contribution
bvod,18657.18456564148,577933.7348470915,True,17.833709337888745
meta,14688.412954889367,534650.0546191791,False,16.498074254287094
amazon_retail,17026.597465769395,486942.17796564306,False,15.025918617634188
meta_collab_ads,14049.61932601194,359373.5916765194,False,11.089444673735532
google_video,45112.55001012521,274251.82887487096,True,8.462782334090404
the_hut_group,59570.46783872355,271112.29180976865,True,8.365903422030742
citrus,14787.151786377846,265406.5771422515,False,8.189838155703363
tesco,22005.101463801417,229622.87696641148,False,7.085635252339484
youtube,3683.3782375403152,137774.82112478412,False,4.251414938892764
pinterest,23798.997160301136,103613.63228206063,False,3.1972790133976985
influencer_management,-189.49623160817282,-2364.817381615652,False,0.0
amazon,-108.40388561451937,-5030.863667449694,False,0.0
testers_and_merchandising,-411.6016829567743,-16719.52323504959,False,0.0
tik_tok,-15761.132837023737,-166772.40590160748,False,0.0
google,-58707.82411006534,-204951.3696157612,True,0.0
criteo,-25401.329638284813,-574476.6826336764,True,0.0
linear,-59602.70773523984,-3449753.73176355,True,0.0
